STUDY_ID|VISIT_NUMBER|VISIT_NAME|OPTIONAL_VISIT_FLAG|FORM_NAME|PROCEDURE_NAME
C1071006|3|Screening|0|BASELINE TUMORS - PROMPT|TUTMM001
C1071006|3|Screening|0|BIDIMENSIONAL TARGET LESION ASSESSMENT - BASELINE|TUTMM003_2
C1071006|3|Screening|0|CARDIAC FUNCTION EVALUATION|CVECH001
C1071006|3|Screening|0|DATE OF VISIT|SV001
C1071006|3|Screening|0|DEMOGRAPHY|DM001
C1071006|3|Screening|0|DISPOSITION - SCREENING|DS001_4
C1071006|3|Screening|0|ECOG PERFORMANCE STATUS|QSPFM005
C1071006|3|Screening|0|ELECTRONIC SAMPLE TRACKING - FISH|BEETRK010
C1071006|3|Screening|0|ENROLLMENT|DS001_2
C1071006|3|Screening|0|GENERAL MEDICAL HISTORY|MH001
C1071006|3|Screening|0|GENERAL MEDICAL HISTORY P2|MH001_5
C1071006|3|Screening|0|IMAGING|MOCAR007
C1071006|3|Screening|0|IMAGING-LUNG|MOCAR007_2
C1071006|3|Screening|0|INCLUSION/EXCLUSION CRITERIA - PART 1|IE002
C1071006|3|Screening|0|INCLUSION/EXCLUSION CRITERIA - PART 2|IE002_1
C1071006|3|Screening|0|INFORMED CONSENT - MAIN|DS001
C1071006|3|Screening|0|INFORMED CONSENT - OPTIONAL PRESCREENING|DS001_11
C1071006|3|Screening|0|LAB CHEMISTRY|LB001
C1071006|3|Screening|0|LAB IDENTIFICATION|D_LBINF001
C1071006|3|Screening|0|LABORATORY DATA - BONE MARROW ASPIRATE|LB001_18
C1071006|3|Screening|0|LABORATORY DATA - BONE MARROW BIOPSY|LB001_19
C1071006|3|Screening|0|LABORATORY DATA - CHEMISTRY|LB001_26
C1071006|3|Screening|0|LABORATORY DATA - CMV PCR|LB001_25
C1071006|3|Screening|0|LABORATORY DATA - COAGULATION|LB001_16
C1071006|3|Screening|0|LABORATORY DATA - HEMATOLOGY|LB001_1
C1071006|3|Screening|0|LABORATORY DATA - HEMATOLOGY PERCENTAGES|LB001_1_1
C1071006|3|Screening|0|LABORATORY DATA - HEPATITIS|LB001_23
C1071006|3|Screening|0|LABORATORY DATA - IMMUNOGLOBULIN|LB001_24
